Part,Quantity
10928.dat,16
18946.dat,8
18947.dat,4
23948.dat,3
26287.dat,4
2780.dat,81
32123a.dat,112
32905.dat,4
3705.dat,5
3706.dat,8
3708.dat,4
3713.dat,8
3737.dat,2
4019.dat,17
4519.dat,7
59443.dat,3
60485.dat,13
