Part,Quantity
10928.dat,12
18946.dat,8
18947.dat,4
26287.dat,4
2780.dat,60
32073.dat,15
32123a.dat,123
32905.dat,4
3705.dat,11
3706.dat,3
3708.dat,3
3713.dat,8
3737.dat,4
4019.dat,27
59443.dat,3
60485.dat,10
87083.dat,4
Return band (match required span and tension),4
