Part,Quantity
10928.dat,6
18946.dat,4
18947.dat,3
26287.dat,3
2780.dat,72
32073.dat,5
32123a.dat,71
32905.dat,3
3706.dat,6
3708.dat,1
3713.dat,8
3737.dat,9
60485.dat,3
6538a.dat,2
94925.dat,4
